feature,rank_analysis_xgb,rank_analysis_rf,rank_analysis_lgbm,rank_analysis_catboost,mean_rank
swing19_rms_Gx,793,343,495,488,529.75
swing22_min_Gx,350,667,783,320,530.0
swing17_mean_Ay,663,161,480,821,531.25
swing21_min_Ax,758,369,772,226,531.25
swing23_min_Ay,531,621,612,365,532.25
swing23_min_Ax,542,406,574,617,534.75
swing13_rms_Ay,665,325,699,450,534.75
swing25_min_Ay,610,318,605,606,534.75
swing21_std_Gx,747,268,363,763,535.25
swing7_rms_Ay,637,276,414,815,535.5
swing12_median_Gy,499,702,482,460,535.75
swing17_rms_Ay,661,543,765,179,537.0
swing8_median_Gy,486,707,283,677,538.25
swing22_std_Ax,782,366,558,448,538.5
swing12_max_Az,683,344,627,500,538.5
swing24_std_Gz,618,547,601,393,539.75
swing10_std_Gx,823,193,435,709,540.0
swing6_median_Gx,581,242,671,668,540.5
swing12_max_Gy,426,610,809,326,542.75
swing11_std_Gy,798,588,592,194,543.0
swing14_median_Gy,714,432,546,480,543.0
swing7_rms_Gz,554,546,383,689,543.0
swing11_std_Ax,338,568,564,703,543.25
swing6_std_Ay,524,596,680,374,543.5
swing15_rms_Ay,708,613,653,206,545.0
swing23_std_Gy,552,554,483,591,545.0
swing14_mean_Gy,709,334,466,673,545.5
swing22_rms_Gz,543,415,769,457,546.0
swing23_median_Ax,320,725,570,570,546.25
swing5_min_Ay,591,566,522,512,547.75
swing12_mean_Gy,690,386,683,436,548.75
swing9_mean_Ay,321,668,507,699,548.75
swing10_min_Az,472,739,277,710,549.5
swing20_min_Gy,811,691,295,401,549.5
swing23_min_Gx,463,592,542,601,549.5
swing23_std_Gx,549,619,415,618,550.25
swing9_min_Gz,185,797,504,716,550.5
swing21_min_Gy,501,715,684,303,550.75
swing25_rms_Gx,639,669,329,567,551.0
swing16_max_Gx,724,376,819,285,551.0
swing11_rms_Gy,805,518,417,468,552.0
swing18_rms_Gy,491,591,697,429,552.0
swing9_mean_Gx,742,316,431,721,552.5
swing26_max_Az,576,484,614,538,553.0
swing26_mean_Gx,345,713,615,539,553.0
swing25_std_Ax,458,539,602,614,553.25
swing14_mean_Gx,701,234,629,649,553.25
swing23_rms_Gx,551,354,766,542,553.25
swing23_std_Ax,495,529,577,616,554.25
swing13_mean_Gx,717,585,526,390,554.5
swing12_rms_Gz,310,569,669,670,554.5
swing8_std_Gz,775,458,740,249,555.5
swing18_mean_Gx,682,649,758,133,555.5
swing5_min_Gx,256,724,737,508,556.25
swing24_min_Gx,624,808,598,197,556.75
swing21_min_Az,392,751,320,764,556.75
